iter	Passed	Remaining
439	1098	1398
440	1099	1393
441	1100	1389
442	1101	1384
443	1102	1380
444	1103	1375
445	1103	1371
446	1104	1366
447	1105	1362
448	1106	1357
449	1107	1353
450	1107	1348
451	1108	1344
452	1109	1339
453	1110	1335
454	1112	1332
455	1113	1327
456	1113	1323
457	1114	1319
458	1115	1314
459	1116	1310
460	1117	1306
461	1117	1301
462	1118	1297
463	1119	1293
464	1120	1289
465	1121	1285
466	1122	1280
467	1123	1276
468	1123	1272
469	1124	1268
470	1126	1265
471	1127	1261
472	1128	1257
473	1129	1253
474	1130	1249
475	1130	1244
476	1131	1240
477	1132	1236
478	1133	1232
479	1134	1228
480	1134	1224
481	1135	1220
482	1136	1216
483	1137	1212
484	1138	1208
485	1139	1204
486	1139	1200
487	1141	1197
488	1142	1194
489	1143	1190
490	1144	1186
491	1145	1183
492	1147	1179
493	1147	1175
494	1148	1171
495	1149	1168
496	1150	1164
497	1151	1160
498	1151	1156
499	1152	1152
500	1153	1148
501	1154	1145
502	1156	1142
503	1157	1138
504	1157	1134
505	1158	1131
506	1159	1127
507	1160	1123
508	1161	1120
509	1162	1116
510	1162	1112
511	1163	1109
512	1164	1105
513	1165	1101
514	1166	1098
515	1167	1094
516	1167	1091
517	1168	1087
518	1170	1084
519	1171	1081
520	1172	1077
521	1173	1074
522	1173	1070
523	1174	1067
524	1175	1063
525	1176	1060
526	1177	1056
527	1178	1053
528	1178	1049
529	1179	1046
530	1180	1042
531	1181	1039
532	1182	1035
533	1183	1032
534	1184	1029
535	1185	1026
536	1186	1023
537	1187	1019
538	1188	1016
539	1189	1013
540	1190	1009
541	1191	1006
542	1192	1003
543	1192	999
544	1193	996
545	1194	993
546	1195	990
547	1196	986
548	1197	983
549	1197	980
550	1198	976
551	1200	974
552	1201	971
553	1202	968
554	1203	965
555	1204	961
556	1205	958
557	1206	955
558	1206	952
559	1207	948
560	1208	945
561	1209	942
562	1210	939
563	1210	936
564	1211	932
565	1212	929
566	1213	926
567	1214	923
568	1215	921
569	1216	917
570	1217	914
571	1218	911
572	1219	908
573	1220	905
574	1220	902
575	1221	899
576	1222	896
577	1223	893
578	1224	890
579	1225	887
580	1225	884
581	1226	881
582	1227	877
583	1228	874
584	1230	872
